Tweet_ID	TPB_Related	TPB_Attitude	HBM_Related	HBM_Susceptibility	HBM_Severity	HBM_Benefits	HBM_Barriers
621434922499244032	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
627927681800101888	True	Neutral	True	Related	Unrelated	Related	Unrelated
626616127469318144	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
633115802883915778	True	Neutral	True	Unrelated	Unrelated	Related	Unrelated
631207739641860100	False	None	True	Unrelated	Related	Unrelated	Unrelated
623470588569497600	False	None	True	Related	Related	Unrelated	Unrelated
623767057180565504	False	None	True	Related	Unrelated	Unrelated	Unrelated
627218586868695040	False	None	True	Related	Unrelated	Unrelated	Unrelated
626171419949273088	False	None	False	None	None	None	None
625329727188807680	True	Neutral	False	None	None	None	None
625818249570177025	False	None	True	Related	Unrelated	Unrelated	Unrelated
629141264106033152	True	Positive	False	None	None	None	None
622081853214846977	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
624746551672344577	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
628252175387504640	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
626874036203597824	True	Neutral	False	None	None	None	None
624618847601950722	True	Neutral	False	None	None	None	None
623263015908061184	False	None	False	None	None	None	None
625270470619705348	False	None	False	None	None	None	None
629256944964886528	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
628000440345587712	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
623388208332709888	False	None	False	None	None	None	None
625019734841384960	False	None	False	None	None	None	None
626784474219483136	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
631194590108737536	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
628408928183816192	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
624672746404884480	False	None	False	None	None	None	None
623253661930532864	True	Neutral	False	None	None	None	None
626206330265604097	True	Neutral	False	None	None	None	None
623668884550361088	False	None	True	Related	Unrelated	Unrelated	Unrelated
621427995350331393	True	Neutral	False	None	None	None	None
625842641670803456	False	None	False	None	None	None	None
628105835160408064	False	None	True	Unrelated	Related	Unrelated	Unrelated
628156737099534336	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
629011609843855360	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
627417729948102656	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
627096706082017280	False	None	False	None	None	None	None
631094261274972160	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
627734452345540608	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
626125030624227328	False	None	True	Unrelated	Related	Unrelated	Unrelated
623284480594161664	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
629766582932082688	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
622327546428964864	False	None	False	None	None	None	None
627495609260462080	False	None	True	Related	Unrelated	Unrelated	Unrelated
631155818226937857	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
621623406497148929	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
628234674284965888	True	Neutral	False	None	None	None	None
624001259482144769	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
622670821677346816	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
630759164747186176	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
628207728725356544	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
629369250084454401	False	None	True	Related	Related	Unrelated	Unrelated
632129543822815232	True	Neutral	True	Unrelated	Unrelated	Related	Unrelated
628192392944963584	True	Neutral	True	Unrelated	Unrelated	Related	Unrelated
621626838624915457	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
631917725904801792	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
623561347310198784	False	None	True	Related	Unrelated	Unrelated	Unrelated
628928449244209152	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
626985706179563520	True	Neutral	False	None	None	None	None
621568281615314944	False	None	False	None	None	None	None
623667913006936065	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
624623138429505538	True	Neutral	False	None	None	None	None
622742315556323328	True	Neutral	True	Unrelated	Unrelated	Related	Unrelated
631971555560525824	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
627157306204102657	False	None	True	Unrelated	Related	Unrelated	Unrelated
622925562852581376	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
631361646812774400	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
623888158044909568	False	None	False	None	None	None	None
626136331924697088	False	None	False	None	None	None	None
627078255468621824	True	Neutral	False	None	None	None	None
623127279548395520	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
626485455471509504	False	None	False	None	None	None	None
628223656330530816	False	None	True	Unrelated	Related	Unrelated	Unrelated
630041074782892032	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
627544164515901440	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
626246127034212352	False	None	False	None	None	None	None
630149418289905664	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
630983270797193218	True	Negative	True	Related	Unrelated	Related	Unrelated
621734599287250944	True	Positive	False	None	None	None	None
621437634557054976	True	Positive	False	None	None	None	None
629712336199155712	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
626348615573835776	False	None	False	None	None	None	None
621703394030284800	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
627541417754128385	True	Neutral	False	None	None	None	None
629367209018716160	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
625313512009535488	False	None	True	Unrelated	Related	Unrelated	Unrelated
628667589703565312	True	Neutral	True	Unrelated	Unrelated	Unrelated	Related
621447123435974656	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
628989607070302208	False	None	True	Unrelated	Related	Unrelated	Unrelated
623164519498543104	True	Positive	True	Unrelated	Unrelated	Related	Unrelated
625568860586930176	False	None	False	None	None	None	None
630885456478081024	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
627567092162650112	True	Negative	True	Unrelated	Unrelated	Unrelated	Related
627471243038584833	False	None	False	None	None	None	None
